Province/State,lat,lng,Country/Region,Last Update,Confirmed,Deaths,Recovered
Xinjiang,42.5246357,87.5395855,China,6,10,0,0
Guizhou,26.8429645,107.2902839,China,6,9,0,0
Jilin,43.837883,126.549572,China,6,8,0,0
Taiwan,23.69781,120.960515,Taiwan,6,8,0,0
Hong Kong,22.3193039,114.1693611,Hong Kong,6,8,0,0
Macau,22.198745,113.543873,Macau,6,7,0,0
Qinghai,35.744798,96.4077358,China,6,6,0,0
Washington,47.7510741,-120.7401385,US,6,1,0,0
Illinois,40.6331249,-89.3985283,US,6,1,0,0
California,36.778261,-119.4179324,US,6,2,0,0
Arizona,34.0489281,-111.0937311,US,6,1,0,0
Tokyo,35.6803997,139.7690174,Japan,6,7,0,1
Bangkok,13.7563309,100.5017651,Thailand,6,14,0,5
Seoul,37.566535,126.9779692,South Korea,6,4,0,0
Singapore,1.352083,103.819836,Singapore,6,7,0,0
Ho Chi Minh City,10.8230989,106.6296638,Vietnam,6,2,0,0
Paris,48.856614,2.3522219,France,6,4,0,0
Kathmandu,27.7172453,85.3239605,Nepal,6,1,0,0
Kuala Lumpur,3.139003,101.686855,Malaysia,6,4,0,0
Ontario,51.253775,-85.323214,Canada,6,1,0,0
British Columbia,53.7266683,-127.6476205,Canada,6,1,0,0
Phnom Penh,11.5563738,104.9282099,Cambodia,6,1,0,0
Colombo,6.9270786,79.861243,Sri Lanka,6,1,0,0
New South Wales,-31.2532183,146.921099,Australia,6,4,0,0
Victoria,28.8052674,-97.0035982,Australia,6,1,0,0
Bavaria,48.7904472,11.4978895,Germany,6,4,0,0
Zhejiang,29.1416432,119.7889248,China,7,296,0,3
Guangdong,23.3790333,113.7632828,China,7,277,0,5
Hunan,27.6252995,111.8568586,China,7,221,0,0
Henan,34.2904302,113.3823545,China,7,206,2,1
Anhui,30.6006773,117.9249002,China,7,152,0,2
Chongqing,29.4315861,106.912251,China,7,147,0,1
Shandong,35.8939566,117.9249002,China,7,130,0,1
Beijing,39.9041999,116.4073963,China,7,111,1,4
Jiangxi,27.0874564,114.9042208,China,7,109,0,3
Sichuan,30.2638032,102.8054753,China,7,108,1,1
Jiangsu,33.1401715,119.7889248,China,7,99,0,1
Shanghai,31.230416,121.473701,China,7,96,1,5
Fujian,26.4836842,117.9249002,China,7,84,0,0
Guangxi,23.7247599,108.8076195,China,7,58,0,2
Shaanxi,35.3939908,109.1880047,China,7,56,0,0
Yunnan,24.4752847,101.3431058,China,7,55,0,0
Hebei,37.8956594,114.9042208,China,7,48,1,0
Hainan,19.5663947,109.949686,China,7,43,1,0
Liaoning,41.9436543,122.5290376,China,7,39,0,1
Heilongjiang,47.1216472,128.738231,China,7,38,1,0
Tianjin,39.3433574,117.3616476,China,7,27,0,0
Shanxi,37.2425649,111.8568586,China,7,27,0,1
Gansu,35.7518326,104.2861116,China,7,24,0,0
Inner Mongolia,43.37822,115.0594815,China,7,16,0,0
Xinjiang,42.5246357,87.5395855,China,7,13,0,0
Ningxia,37.198731,106.1580937,China,7,12,0,0
Hong Kong,22.3193039,114.1693611,Hong Kong,7,10,0,0
Guizhou,26.8429645,107.2902839,China,7,9,0,1
Jilin,43.837883,126.549572,China,7,9,0,0
Taiwan,23.69781,120.960515,Taiwan,7,8,0,0
Macau,22.198745,113.543873,Macau,7,7,0,0
Qinghai,35.744798,96.4077358,China,7,6,0,0
Washington,47.7510741,-120.7401385,US,7,1,0,0
Illinois,40.6331249,-89.3985283,US,7,1,0,0
California,36.778261,-119.4179324,US,7,2,0,0
Arizona,34.0489281,-111.0937311,US,7,1,0,0
Tokyo,35.6803997,139.7690174,Japan,7,7,0,1
Bangkok,13.7563309,100.5017651,Thailand,7,14,0,5
Seoul,37.566535,126.9779692,South Korea,7,4,0,0
Singapore,1.352083,103.819836,Singapore,7,7,0,0
Ho Chi Minh City,10.8230989,106.6296638,Vietnam,7,2,0,0
Paris,48.856614,2.3522219,France,7,5,0,0
Kathmandu,27.7172453,85.3239605,Nepal,7,1,0,0
Kuala Lumpur,3.139003,101.686855,Malaysia,7,7,0,0
Ontario,51.253775,-85.323214,Canada,7,1,0,0
British Columbia,53.7266683,-127.6476205,Canada,7,1,0,0
Phnom Penh,11.5563738,104.9282099,Cambodia,7,1,0,0
Colombo,6.9270786,79.861243,Sri Lanka,7,1,0,0
New South Wales,-31.2532183,146.921099,Australia,7,4,0,0
Victoria,28.8052674,-97.0035982,Australia,7,1,0,0
Bavaria,48.7904472,11.4978895,Germany,7,4,0,0
Helsinki,60.1698557,24.9383791,Finland,7,1,0,0
Dubai,25.2048493,55.2707828,United Arab Emirates,7,4,0,0
Zhejiang,29.1416432,119.7889248,China,8,428,0,4
Guangdong,23.3790333,113.7632828,China,8,354,0,10
Henan,34.2904302,113.3823545,China,8,278,2,2
Hunan,27.6252995,111.8568586,China,8,277,0,2
Anhui,30.6006773,117.9249002,China,8,200,0,2
Chongqing,29.4315861,106.912251,China,8,182,0,1
Jiangxi,27.0874564,114.9042208,China,8,162,0,5
Shandong,35.8939566,117.9249002,China,8,158,0,1
Sichuan,30.2638032,102.8054753,China,8,142,1,1
Jiangsu,33.1401715,119.7889248,China,8,129,0,1
Beijing,39.9041999,116.4073963,China,8,114,1,4
Shanghai,31.230416,121.473701,China,8,112,1,5
Fujian,26.4836842,117.9249002,China,8,101,0,0
Guangxi,23.7247599,108.8076195,China,8,78,0,2
Yunnan,24.4752847,101.3431058,China,8,70,0,0
Hebei,37.8956594,114.9042208,China,8,65,1,0
Shaanxi,35.3939908,109.1880047,China,8,63,0,0
Hainan,19.5663947,109.949686,China,8,46,1,1
Heilongjiang,47.1216472,128.738231,China,8,44,2,0
Liaoning,41.9436543,122.5290376,China,8,41,0,1
Shanxi,37.2425649,111.8568586,China,8,35,0,1
Tianjin,39.3433574,117.3616476,China,8,31,0,0
Gansu,35.7518326,104.2861116,China,8,26,0,0
Inner Mongolia,43.37822,115.0594815,China,8,19,0,0
Ningxia,37.198731,106.1580937,China,8,17,0,0
Jilin,43.837883,126.549572,China,8,14,0,1
Xinjiang,42.5246357,87.5395855,China,8,14,0,0
Guizhou,26.8429645,107.2902839,China,8,12,0,1
Hong Kong,22.3193039,114.1693611,Hong Kong,8,10,0,0
Taiwan,23.69781,120.960515,Taiwan,8,9,0,0
Qinghai,35.744798,96.4077358,China,8,8,0,0
Macau,22.198745,113.543873,Macau,8,7,0,0
Tibet,30.1533605,88.7878678,China,8,1,0,0
Washington,47.7510741,-120.7401385,US,8,1,0,0
Illinois,40.6331249,-89.3985283,US,8,1,0,0
California,36.778261,-119.4179324,US,8,2,0,0
Arizona,34.0489281,-111.0937311,US,8,1,0,0
Tokyo,35.6803997,139.7690174,Japan,8,11,0,1
Bangkok,13.7563309,100.5017651,Thailand,8,14,0,5
Seoul,37.566535,126.9779692,South Korea,8,4,0,0
Singapore,1.352083,103.819836,Singapore,8,10,0,0
Ho Chi Minh City,10.8230989,106.6296638,Vietnam,8,2,0,0
Paris,48.856614,2.3522219,France,8,5,0,0
Kathmandu,27.7172453,85.3239605,Nepal,8,1,0,0
Kuala Lumpur,3.139003,101.686855,Malaysia,8,8,0,0
Ontario,51.253775,-85.323214,Canada,8,2,0,0
British Columbia,53.7266683,-127.6476205,Canada,8,1,0,0
Phnom Penh,11.5563738,104.9282099,Cambodia,8,1,0,0
Colombo,6.9270786,79.861243,Sri Lanka,8,1,0,0
New South Wales,-31.2532183,146.921099,Australia,8,4,0,2
Victoria,28.8052674,-97.0035982,Australia,8,2,0,0
Queensland,-20.9175738,142.7027956,Australia,8,3,0,0
Bavaria,48.7904472,11.4978895,Germany,8,4,0,0
Helsinki,60.1698557,24.9383791,Finland,8,1,0,0
Dubai,25.2048493,55.2707828,United Arab Emirates,8,4,0,0
Quezon City,14.6760413,121.0437003,Philippines,8,1,0,0
Mumbai,19.0759837,72.8776559,India,8,1,0,0
Zhejiang,29.1416432,119.7889248,China,9,538,0,14
Guangdong,23.3790333,113.7632828,China,9,436,0,11
Henan,34.2904302,113.3823545,China,9,352,2,3
Hunan,27.6252995,111.8568586,China,9,332,0,2
Jiangxi,27.0874564,114.9042208,China,9,240,0,7
Anhui,30.6006773,117.9249002,China,9,237,0,3
Chongqing,29.4315861,106.912251,China,9,211,0,1
Shandong,35.8939566,117.9249002,China,9,184,0,2
Sichuan,30.2638032,102.8054753,China,9,177,1,1
Jiangsu,33.1401715,119.7889248,China,9,168,0,5
Beijing,39.9041999,116.4073963,China,9,139,1,5
Shanghai,31.230416,121.473701,China,9,135,1,9
Fujian,26.4836842,117.9249002,China,9,120,0,0
Guangxi,23.7247599,108.8076195,China,9,87,0,2
Shaanxi,35.3939908,109.1880047,China,9,87,0,0
Yunnan,24.4752847,101.3431058,China,9,83,0,1
Hebei,37.8956594,114.9042208,China,9,82,1,0
Heilongjiang,47.1216472,128.738231,China,9,59,2,0
Hainan,19.5663947,109.949686,China,9,52,1,1
Liaoning,41.9436543,122.5290376,China,9,48,0,1
Shanxi,37.2425649,111.8568586,China,9,39,0,1
Tianjin,39.3433574,117.3616476,China,9,32,0,0
Guizhou,26.8429645,107.2902839,China,9,29,0,2
Gansu,35.7518326,104.2861116,China,9,29,0,0
Ningxia,37.198731,106.1580937,China,9,21,0,0
Inner Mongolia,43.37822,115.0594815,China,9,20,0,1
Xinjiang,42.5246357,87.5395855,China,9,17,0,0
Jilin,43.837883,126.549572,China,9,14,0,1
Hong Kong,22.3193039,114.1693611,Hong Kong,9,12,0,0
Taiwan,23.69781,120.960515,Taiwan,9,10,0,0
Qinghai,35.744798,96.4077358,China,9,8,0,0
Macau,22.198745,113.543873,Macau,9,7,0,0
Tibet,30.1533605,88.7878678,China,9,1,0,0
Bangkok,13.7563309,100.5017651,Thailand,9,19,0,5
Tokyo,35.6803997,139.7690174,Japan,9,15,0,1
Singapore,1.352083,103.819836,Singapore,9,13,0,0
Seoul,37.566535,126.9779692,South Korea,9,11,0,0
Kuala Lumpur,3.139003,101.686855,Malaysia,9,8,0,0
Paris,48.856614,2.3522219,France,9,5,0,0
Bavaria,48.7904472,11.4978895,Germany,9,5,0,0
New South Wales,-31.2532183,146.921099,Australia,9,4,0,2
Dubai,25.2048493,55.2707828,United Arab Emirates,9,4,0,0
Victoria,28.8052674,-97.0035982,Australia,9,3,0,0
Illinois,40.6331249,-89.3985283,US,9,2,0,0
California,36.778261,-119.4179324,US,9,2,0,0
Ho Chi Minh City,10.8230989,106.6296638,Vietnam,9,2,0,0
Ontario,51.253775,-85.323214,Canada,9,2,0,0
Queensland,-20.9175738,142.7027956,Australia,9,2,0,0
Rome,41.9027835,12.4963655,Italy,9,2,0,0
Manchester,53.4807593,-2.2426305,UK,9,2,0,0
Moscow,55.755826,37.6172999,Russia,9,2,0,0
Washington,47.7510741,-120.7401385,US,9,1,0,0
Arizona,34.0489281,-111.0937311,US,9,1,0,0
Kathmandu,27.7172453,85.3239605,Nepal,9,1,0,0
